 INFO  Accepting connections at http://localhost:8082
 HTTP  2026/1/13 00:04:14 ::1 HEAD /AI_TOOL/chat-gml/style.css
 HTTP  2026/1/13 00:04:14 ::1 Returned 200 in 22 ms
 HTTP  2026/1/13 00:14:09 ::1 GET /
 HTTP  2026/1/13 00:14:09 ::1 Returned 200 in 21 ms
 HTTP  2026/1/13 00:15:10 ::1 GET /game/eluosifangkuan/tetris
 HTTP  2026/1/13 00:15:10 ::1 Returned 304 in 5 ms
 HTTP  2026/1/13 00:15:21 ::1 GET /game/feij
 HTTP  2026/1/13 00:15:21 ::1 Returned 304 in 3 ms
 HTTP  2026/1/13 00:15:21 ::1 GET /game/style.css
 HTTP  2026/1/13 00:15:21 ::1 GET /game/game.js
 HTTP  2026/1/13 00:15:21 ::1 Returned 404 in 12 ms
 HTTP  2026/1/13 00:15:21 ::1 Returned 404 in 17 ms
 HTTP  2026/1/13 00:15:24 ::1 GET /game/xiaoxiaole
 HTTP  2026/1/13 00:15:24 ::1 Returned 304 in 1 ms
 HTTP  2026/1/13 00:15:24 ::1 GET /game/style.css
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/constants.js
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/audioManager.js
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/utils.js
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/gem.js
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/board.js
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 9 ms
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 10 ms
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 8 ms
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 8 ms
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 9 ms
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 8 ms
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/game.js
 HTTP  2026/1/13 00:15:24 ::1 GET /game/src/main.js
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 9 ms
 HTTP  2026/1/13 00:15:24 ::1 Returned 404 in 8 ms
 HTTP  2026/1/13 00:15:25 ::1 GET /game/feij
 HTTP  2026/1/13 00:15:25 ::1 Returned 304 in 0 ms
 HTTP  2026/1/13 00:15:25 ::1 GET /game/style.css
 HTTP  2026/1/13 00:15:25 ::1 GET /game/game.js
 HTTP  2026/1/13 00:15:25 ::1 Returned 404 in 2 ms
 HTTP  2026/1/13 00:15:25 ::1 Returned 404 in 1 ms
 HTTP  2026/1/13 00:15:26 ::1 GET /game/xiaoxiaole
 HTTP  2026/1/13 00:15:26 ::1 Returned 304 in 0 ms
 HTTP  2026/1/13 00:15:26 ::1 GET /game/style.css
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/constants.js
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/utils.js
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/gem.js
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/audioManager.js
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/board.js
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 4 ms
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 4 ms
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 3 ms
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 3 ms
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 3 ms
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 3 ms
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/game.js
 HTTP  2026/1/13 00:15:26 ::1 GET /game/src/main.js
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 4 ms
 HTTP  2026/1/13 00:15:26 ::1 Returned 404 in 3 ms
 HTTP  2026/1/13 00:15:27 ::1 GET /
 HTTP  2026/1/13 00:15:27 ::1 Returned 304 in 1 ms
 HTTP  2026/1/13 00:15:29 ::1 GET /game/xiaoxiaole
 HTTP  2026/1/13 00:15:29 ::1 Returned 304 in 1 ms
 HTTP  2026/1/13 00:15:29 ::1 GET /game/style.css
 HTTP  2026/1/13 00:15:29 ::1 GET /game/src/constants.js
 HTTP  2026/1/13 00:15:29 ::1 GET /game/src/utils.js
 HTTP  2026/1/13 00:15:29 ::1 GET /game/src/gem.js
